id,session_id,user_message,bot_response,consent_given,created_at
029d6bb1-f0fd-4c0c-b661-a10a7f65286a,33eac7dc-72eb-43ca-99c9-8b1cdf192bc4,who is yash,an Irish Government-EU co-funded industry-facing organisation within the Technological University of the Shannon (TUS) and IDEAM Research Institute.,True,2026-02-28 22:03:08.164037
de6b1be9-9cb0-4b8a-9923-ef157a9d2b66,33eac7dc-72eb-43ca-99c9-8b1cdf192bc4,	Who is Yash,an industry-facing research organization embedded within the Technological University of the Shannon (TUS) and IDEAM Research Institute.,True,2026-02-28 22:03:42.094294
369a7295-c61c-42ef-92ce-6d12fd4703a2,f69da71c-35cc-4139-ab6f-3f15e624d5eb,who is yash,YASH is CEO of IDEAM,True,2026-02-28 22:10:44.057433
074c094b-a736-4abf-8861-7c45549f1942,b26845a8-88d8-4c76-b600-b42bc6ff5de1,who is yash,YASH is CEO of IDEAM,True,2026-02-28 22:22:03.218695
7fcbf30f-b1fb-49c1-bdab-f8d6a0e174c2,b26845a8-88d8-4c76-b600-b42bc6ff5de1,what is ideam,IDEAM stand for Irish Digital Engineering and Advanced Manufacturing Cluster or Research Institute,True,2026-02-28 22:22:14.600548
f6863182-8842-403c-8f56-9cdc37d87de6,b26845a8-88d8-4c76-b600-b42bc6ff5de1,what is ideam,IDEAM stand for Irish Digital Engineering and Advanced Manufacturing Cluster or Research Institute,True,2026-02-28 22:22:26.589774
4d7ec93f-9573-4149-a36e-63bfc353825d,b26845a8-88d8-4c76-b600-b42bc6ff5de1,who is yash,YASH is CEO of IDEAM,True,2026-02-28 22:22:36.959248
c1e7f3d4-e610-4458-9c50-1085ea7eb133,b26845a8-88d8-4c76-b600-b42bc6ff5de1,what is smarter factory,"The Smarter Factory Technology Gateway Programme is co-financed by the Government of Ireland and the European Union through the ERDF Southern, Eastern & Midland Regional Programme 2021-2027.",True,2026-02-28 22:25:34.954778
680a9c65-c0cb-4557-a124-2d7c40a2ebb1,b26845a8-88d8-4c76-b600-b42bc6ff5de1,who is yash,YASH is CEO of IDEAM,True,2026-02-28 22:25:38.989481
8536ad29-33a8-402d-b647-8ed5b92a5624,b26845a8-88d8-4c76-b600-b42bc6ff5de1,what does ideam do ,IDEAM stand for Irish Digital Engineering and Advanced Manufacturing Cluster or Research Institute,True,2026-02-28 22:26:36.848453
e51321d5-8c66-42b4-84a3-6494192a4b03,b26845a8-88d8-4c76-b600-b42bc6ff5de1,what does ideam specialize in ,IDEAM stand for Irish Digital Engineering and Advanced Manufacturing Cluster or Research Institute,True,2026-02-28 22:26:51.164312
c8e5846f-9329-474a-be02-44f56fa09ec4,b26845a8-88d8-4c76-b600-b42bc6ff5de1,what does ideam specialize in and projects,"data analytics, biotechnology, and environmental science.",True,2026-02-28 22:27:00.433415
21033408-ea1d-4acf-8c01-e79021b9ec67,b26845a8-88d8-4c76-b600-b42bc6ff5de1,,Which of the following is true of IDEAM Institute?.,True,2026-02-28 22:27:23.051353
dfe50aaf-7e01-4766-a83a-f5c80ed19599,b26845a8-88d8-4c76-b600-b42bc6ff5de1,who are you,an assistant for IDEAM.,True,2026-02-28 22:27:30.595010
e8b47f25-0af9-4fe1-8721-8380938ddcf6,e4751ff4-1f77-45e4-8684-11804ec2fffa,who is yash,YASH is CEO of IDEAM,True,2026-02-28 22:29:43.271375
7d1f2cf7-24c0-49d4-82ae-015587dc0fc0,e4751ff4-1f77-45e4-8684-11804ec2fffa,what does IDEAM do and their projects ,IDEAM stand for Irish Digital Engineering and Advanced Manufacturing Cluster or Research Institute,True,2026-02-28 22:29:53.009121
863f5bbf-b9b7-43af-a7f5-6fc65176b58e,bc0d9ce1-519b-4248-bec1-7b2406131380,what is smarter factory ,"The Smarter Factory Technology Gateway Programme is co-financed by the Government of Ireland and the European Union through the ERDF Southern, Eastern & Midland Regional Programme 2021-2027.",True,2026-02-28 22:31:46.654341
558e87dd-1c87-46ca-945a-85044b56d283,73c24b4f-154e-4c0b-8a2c-ea523f300ad6,what does IDEAM secialise in ,"data analytics, biotechnology, and environmental science.",True,2026-02-28 22:32:02.019066
afb65192-d37b-41ec-be7b-c2192fa4a9bc,73c24b4f-154e-4c0b-8a2c-ea523f300ad6,who is rishi,an assistant for IDEAM.,True,2026-02-28 22:32:11.390282
